id,sex,group,exp,exp_date,latency,1st_prey,unpalatable_50,total_50,palatable_50,unpalatable_consumed,total_consumed,palatable_consumed,population,pc1,1st_prey2,percent_unpalatable_50,percent_unpalatable_consumed
83,m,R,5,07-01-2022,42,P,1,4,3,4,7,3,PT,-1.1161991411008918,1,0.25,0.5714285714285714
83,m,R,1,06-27-2022,54,P,1,3,2,2,5,3,PT,-1.1161991411008918,1,0.3333333333333333,0.4
83,m,R,2,06-28-2022,48,P,1,3,2,2,5,3,PT,-1.1161991411008918,1,0.3333333333333333,0.4
83,m,R,3,06-29-2022,11,P,1,3,2,2,6,4,PT,-1.1161991411008918,1,0.3333333333333333,0.3333333333333333
85,m,R,2,06-28-2022,0,U,2,4,2,4,8,4,PT,-0.23671318592030424,0,0.5,0.5
85,m,R,1,06-27-2022,0,P,0,4,4,3,7,4,PT,-0.23671318592030424,1,0,0.42857142857142855
85,m,R,5,07-01-2022,0,P,0,4,4,4,8,4,PT,-0.23671318592030424,1,0,0.5
85,m,R,3,06-29-2022,0,U,1,4,3,2,5,3,PT,-0.23671318592030424,0,0.25,0.4
85,m,R,4,06-30-2022,0,U,2,4,2,4,8,4,PT,-0.23671318592030424,0,0.5,0.5
93,m,Y,1,07-05-2022,0,P,0,4,4,4,8,4,PT,-0.4656685896361802,1,0,0.5
93,m,Y,3,07-07-2022,0,P,2,4,2,3,7,4,PT,-0.4656685896361802,1,0.5,0.42857142857142855
93,m,Y,4,07-08-2022,0,P,2,4,2,4,8,4,PT,-0.4656685896361802,1,0.5,0.5
93,m,Y,5,07-09-2022,0,U,2,4,2,4,7,3,PT,-0.4656685896361802,0,0.5,0.5714285714285714
93,m,Y,2,07-06-2022,0,U,1,4,3,4,8,4,PT,-0.4656685896361802,0,0.25,0.5
95,m,R,3,07-07-2022,115,U,1,4,3,2,6,4,PT,0.9400292641729556,0,0.25,0.3333333333333333
95,m,R,4,07-08-2022,30,P,1,3,2,2,6,4,PT,0.9400292641729556,1,0.3333333333333333,0.3333333333333333
95,m,R,5,07-09-2022,9,P,0,3,3,2,6,4,PT,0.9400292641729556,1,0,0.3333333333333333
95,m,R,1,07-05-2022,62,U,3,4,1,4,8,4,PT,0.9400292641729556,0,0.75,0.5
96,f,R,3,07-07-2022,2,U,2,4,2,3,7,4,PT,0.19412939629582235,0,0.5,0.42857142857142855
96,f,R,4,07-08-2022,0,P,0,3,3,2,6,4,PT,0.19412939629582235,1,0,0.3333333333333333
96,f,R,5,07-09-2022,0,P,1,4,3,3,7,4,PT,0.19412939629582235,1,0.25,0.42857142857142855
96,f,R,2,07-06-2022,5,P,0,4,4,2,6,4,PT,0.19412939629582235,1,0,0.3333333333333333
96,f,R,1,07-05-2022,0,P,0,4,4,3,7,4,PT,0.19412939629582235,1,0,0.42857142857142855
